site,lat,lon
Detroit River,"42°14'03.2""N"," 83°08'00.6""W "
Detroit River,"42°17'41.8""N"," 83°05'44.3""W"
Van Buren Bay,"42°28'06.0""N"," 79°23'59.4""W"
Sandusky River,"41°20'54.9""N"," 83°06'43.1""W"
Maumee River,"41°20'54.9""N"," 83°06'43.1""W"
